Ticker,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,P,Promoted
JAZZ,Healthcare,BUY_BREAKOUT,BUY_BREAKOUT,196.83,14.8,1.64,0.88,2.0,56,5.25,91.8,2.62,22.6,종목 17.3% vs SPY -0.3%,0.3,20D High 174.00 돌파 + Vol 5.25x (기준 1.5x),196.83 위에서 분할(돌파 유지 시),SMA50(168.49) 이탈 또는 Stop 186.52,"20D high 근접, Vol 5.3x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,196.83,186.52,217.5,40.0,7873.0,183694688,0,False
FLKR,Unknown,BUY_BREAKOUT,BUY_BREAKOUT,48.37,,1.46,0.82,1.99,52,1.57,83.2,2.9,43.4,종목 20.7% vs SPY -0.3%,0.5,20D High 47.28 돌파 + Vol 1.57x (기준 1.5x),48.37 위에서 분할(돌파 유지 시),SMA50(37.39) 이탈 또는 Stop 45.57,"20D high 근접, Vol 1.6x, MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,48.37,45.57,53.96,148.0,7159.0,17097431,0,False
BTI,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,63.03,189.0,-0.17,0.83,,52,0.72,56.7,2.09,23.9,,0.3,트리거: 63.03 상향 돌파(20D High),63.03 돌파+거래량 동반 시,SMA50(58.53) 이탈 또는 Stop 60.40,"20D high 근접, MACD 상향크로스, RSI 57",CROSS_UP,현재 Vol 0.72x,,,,,,339622857,3,False
SAN,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,13.21,257.2,-0.17,0.83,,52,0.87,60.1,3.23,14.5,,0.2,트리거: 13.19 상향 돌파(20D High),13.19 돌파+거래량 동반 시,SMA50(12.20) 이탈 또는 Stop 12.36,"20D high 근접, MACD 상향크로스, RSI 60",CROSS_UP,현재 Vol 0.87x,,,,,,226433363,3,False
CAVA,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,85.67,11.7,-0.14,0.86,,51,4.42,72.5,5.82,20.3,,16.8,트리거: 72.98 상향 돌파(20D High) | 품질: gap_atr_high(2.16),72.98 위 '종가확인' + 거래량 유지 시,SMA50(64.42) 이탈 또는 Stop 75.70,"20D high 근접, Vol 4.4x (강함), MACD 완만개선",,"돌파 품질 미충족: gap_atr_high(2.16) (Vol 4.42x, 기준 1.5x)",,,,,,281831700,3,False
NVTS,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,9.88,3.0,-0.11,0.89,,45,2.54,64.2,7.74,21.3,,44.5,트리거: 10.42 상향 돌파(20D High) | 품질: close_not_confirm(need>10.43),10.42 위 '종가확인' + 거래량 유지 시,SMA50(8.81) 이탈 또는 Stop 8.35,"Vol 2.5x (강함), MACD 상향크로스, RSI 64",CROSS_UP,"돌파 품질 미충족: close_not_confirm(need>10.43) (Vol 2.54x, 기준 1.5x)",,,,,,174951589,3,False
LIN,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,508.27,316.1,-0.22,0.78,,43,1.12,70.5,2.09,38.8,,0.3,트리거: 504.49 상향 돌파(20D High),504.49 돌파+거래량 동반 시,SMA50(449.42) 이탈 또는 Stop 487.01,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 1.12x,,,,,,1394504009,3,False
PM,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,189.8,427.3,-0.22,0.78,,43,1.11,69.1,2.43,34.7,,0.8,트리거: 190.98 상향 돌파(20D High),190.98 돌파+거래량 동반 시,SMA50(171.38) 이탈 또는 Stop 180.57,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 1.11x,,,,,,1057589121,3,False
F,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,14.43,80.5,-0.21,0.79,,43,0.8,61.3,2.45,20.1,,0.5,트리거: 14.36 상향 돌파(20D High),14.36 돌파+거래량 동반 시,SMA50(13.72) 이탈 또는 Stop 13.72,"20D high 근접, MACD 완만개선, RSI 61",,현재 Vol 0.80x,,,,,,1019372059,3,False
NEE,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,95.11,276.9,-0.24,0.76,,43,0.99,69.8,2.25,58.1,,0.8,트리거: 95.84 상향 돌파(20D High),95.84 돌파+거래량 동반 시,SMA50(85.32) 이탈 또는 Stop 90.82,"20D high 근접, MACD 완만개선, RSI 70",,현재 Vol 0.99x,,,,,,830254100,3,False
SO,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,95.92,146.2,-0.24,0.76,,43,0.52,65.3,2.29,38.7,,4.9,트리거: 96.70 상향 돌파(20D High),96.70 돌파+거래량 동반 시,SMA50(89.02) 이탈 또는 Stop 91.54,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 0.52x,,,,,,678119433,3,False
CFLT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,30.64,15.9,-0.26,0.74,,43,0.29,70.7,0.41,21.7,,7.2,트리거: 30.76 상향 돌파(20D High),30.76 돌파+거래량 동반 시,SMA50(30.38) 이탈 또는 Stop 30.39,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.29x,,,,,,595399514,3,False
BKR,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,64.81,85.2,-0.24,0.76,,43,0.79,70.4,2.72,44.9,,1.0,트리거: 65.20 상향 돌파(20D High),65.20 돌파+거래량 동반 시,SMA50(53.28) 이탈 또는 Stop 61.28,"20D high 근접, MACD 완만개선, RSI 70",,현재 Vol 0.79x,,,,,,541102936,3,False
EW,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,83.4,65.2,-0.21,0.79,,43,0.59,60.1,3.09,44.3,,5.1,트리거: 83.77 상향 돌파(20D High),83.77 돌파+거래량 동반 시,SMA50(82.81) 이탈 또는 Stop 78.25,"20D high 근접, MACD 완만개선, RSI 60",,현재 Vol 0.59x,,,,,,408696871,3,False
AWK,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,134.22,38.1,-0.24,0.76,,43,0.65,68.5,2.81,40.6,,13.7,트리거: 135.00 상향 돌파(20D High),135.00 돌파+거래량 동반 시,SMA50(130.03) 이탈 또는 Stop 126.67,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 0.65x,,,,,,251275277,3,False
FNV,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,275.72,71.5,-0.24,0.76,,43,0.44,67.4,3.92,22.8,,0.7,트리거: 275.56 상향 돌파(20D High),275.56 돌파+거래량 동반 시,SMA50(236.36) 이탈 또는 Stop 254.08,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.44x,,,,,,215413934,3,False
CLH,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,286.04,21.5,-0.23,0.77,,43,1.03,71.7,2.97,44.0,,1.0,트리거: 288.81 상향 돌파(20D High),288.81 돌파+거래량 동반 시,SMA50(256.99) 이탈 또는 Stop 269.07,"20D high 근접, MACD 완만개선, RSI 72",,현재 Vol 1.03x,,,,,,153600378,3,False
KEX,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,130.12,10.2,-0.24,0.76,,43,0.47,66.9,2.67,37.3,,1.6,트리거: 131.11 상향 돌파(20D High),131.11 돌파+거래량 동반 시,SMA50(120.87) 이탈 또는 Stop 123.18,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.47x,,,,,,92549968,3,False
AFG,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,131.78,15.7,-0.24,0.76,,43,0.65,69.3,2.0,9.7,,12.2,트리거: 132.70 상향 돌파(20D High),132.70 돌파+거래량 동반 시,SMA50(132.36) 이탈 또는 Stop 126.51,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 0.65x,,,,,,89649816,3,False
FOLD,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,14.34,6.6,-0.26,0.74,,43,0.44,68.4,0.26,33.8,,0.3,트리거: 14.37 상향 돌파(20D High),14.37 돌파+거래량 동반 시,SMA50(13.95) 이탈 또는 Stop 14.26,"20D high 근접, MACD 완만개선, RSI 68",,현재 Vol 0.44x,,,,,,84044511,3,False
RDN,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,35.15,6.5,-0.21,0.79,,43,0.54,60.8,2.91,11.4,,9.5,트리거: 34.83 상향 돌파(20D High),34.83 돌파+거래량 동반 시,SMA50(34.40) 이탈 또는 Stop 33.10,"20D high 근접, MACD 완만개선, RSI 61",,현재 Vol 0.54x,,,,,,44468799,3,False
COUR,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,6.58,1.5,-0.24,0.76,,43,0.64,64.2,5.28,15.6,,51.5,트리거: 6.38 상향 돌파(20D High),6.38 돌파+거래량 동반 시,SMA50(6.70) 이탈 또는 Stop 5.89,"20D high 근접, MACD 완만개선, RSI 64",,현재 Vol 0.64x,,,,,,39862021,3,False
RAMP,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,26.34,2.2,-0.23,0.77,,43,1.01,71.2,4.9,23.8,,25.2,트리거: 26.06 상향 돌파(20D High),26.06 돌파+거래량 동반 시,SMA50(26.45) 이탈 또는 Stop 23.76,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 1.01x,,,,,,23221830,3,False
MCD,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,333.01,341.8,-0.22,0.78,,40,0.49,64.5,1.81,61.5,,0.9,트리거: 336.00 상향 돌파(20D High),336.00 돌파+거래량 동반 시,SMA50(315.95) 이탈 또는 Stop 320.99,"20D high 근접, RSI 65",,현재 Vol 0.49x,,,,,,1160953453,3,False
ECL,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,306.52,124.2,-0.25,0.75,,40,0.8,71.7,2.02,57.6,,0.9,트리거: 309.27 상향 돌파(20D High),309.27 돌파+거래량 동반 시,SMA50(279.97) 이탈 또는 Stop 294.12,"20D high 근접, RSI 72",,현재 Vol 0.80x,,,,,,404245483,3,False
