Ticker,SignalDate,EntryDate,EntryPrice,StopPrice,Status,DaysHeld,LastBarDate,ExitDate,ExitPrice,ReturnPct,ExitReason
178320.KQ,2026-03-02,2026-03-02,47550.0,,OPEN,1,2026-02-27,,,,
226950.KQ,2026-03-02,2026-03-02,180000.0,,OPEN,1,2026-02-27,,,,
389470.KQ,2026-03-02,2026-03-02,93600.0,,OPEN,1,2026-02-27,,,,
