Name,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_KOSPI or KOSDAQ,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,Ticker,P,Promoted
한섬,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,23750.0,5101.0,0.94,0.65,1.99,13,1.39,75.8,5.64,72.9,종목 54.8% vs KOSPI 22.8%,1.0,트리거: 23300.00 상향 돌파(20D High),23300.00 돌파+거래량 동반 시,SMA50(17415.00) 이탈 또는 Stop 21071.43,Vol 1.4x (약),,현재 Vol 1.39x,23750.0,21071.43,29086.61,226.0,5367500.0,5472563379,020000.KS,3,False
한솔케미칼,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,338000.0,36733.0,1.05,0.69,1.98,18,1.04,71.4,4.67,30.5,종목 28.0% vs KOSPI 22.8%,1.2,트리거: 341000.00 상향 돌파(20D High),341000.00 돌파+거래량 동반 시,SMA50(262500.00) 이탈 또는 Stop 306428.57,"MACD 완만개선, RSI 71",,현재 Vol 1.04x,338000.0,306428.57,400532.14,19.0,6422000.0,19342051500,014680.KS,3,False
삼성SDI,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,466000.0,366712.0,1.07,0.7,1.97,18,1.09,70.6,4.76,29.8,종목 20.3% vs KOSPI 22.8%,1.6,트리거: 457000.00 상향 돌파(20D High),457000.00 돌파+거래량 동반 시,SMA50(338070.00) 이탈 또는 Stop 421642.86,"MACD 완만개선, RSI 71",,현재 Vol 1.09x,466000.0,421642.86,553198.21,13.0,6058000.0,444210232275,006400.KS,3,False
대주전자재료,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,100700.0,15092.0,0.89,0.64,1.95,15,0.94,68.5,6.46,48.6,종목 33.0% vs KOSDAQ 10.2%,15.9,트리거: 101600.00 상향 돌파(20D High),101600.00 돌파+거래량 동반 시,SMA50(74222.00) 이탈 또는 Stop 87685.71,RSI 68,,현재 Vol 0.94x,100700.0,87685.71,126108.93,46.0,4632200.0,46318805090,078600.KQ,3,False
에스앤에스텍,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,98700.0,20559.0,1.4,0.82,1.93,32,1.6,61.4,6.42,31.9,종목 32.0% vs KOSDAQ 10.2%,3.5,트리거: 99300.00 상향 돌파(20D High) | 품질: close_not_confirm(need>99399.30),99300.00 위 '종가확인' + 거래량 유지 시,SMA50(69450.00) 이탈 또는 Stop 86028.57,"Vol 1.6x, MACD 완만개선, RSI 61",,"돌파 품질 미충족: close_not_confirm(need>99399.30) (Vol 1.60x, 기준 1.5x)",98700.0,86028.57,123099.64,47.0,4638900.0,40071122780,101490.KQ,3,False
롯데케미칼,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,95900.0,40438.0,1.45,0.85,1.89,32,1.82,62.5,6.24,24.0,종목 15.5% vs KOSPI 22.8%,4.6,트리거: 100200.00 상향 돌파(20D High) | 품질: close_not_confirm(need>100300.20),100200.00 위 '종가확인' + 거래량 유지 시,SMA50(77096.00) 이탈 또는 Stop 83928.57,"Vol 1.8x, MACD 완만개선, RSI 63",,"돌파 품질 미충족: close_not_confirm(need>100300.20) (Vol 1.82x, 기준 1.5x)",95900.0,83928.57,118532.14,50.0,4795000.0,25779124610,011170.KS,3,False
두산에너빌리티,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,106300.0,680814.0,1.02,0.7,1.88,18,1.12,65.4,4.36,19.8,종목 13.6% vs KOSPI 22.8%,3.5,트리거: 106800.00 상향 돌파(20D High),106800.00 돌파+거래량 동반 시,SMA50(88812.00) 이탈 또는 Stop 97028.57,"MACD 완만개선, RSI 65",,현재 Vol 1.12x,106300.0,97028.57,123709.64,65.0,6909500.0,713345958025,034020.KS,3,False
카카오,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,62300.0,274044.0,1.54,0.89,1.84,36,2.16,64.8,3.36,14.2,종목 0.2% vs KOSPI 22.8%,13.0,트리거: 63400.00 상향 돌파(20D High) | 품질: close_not_confirm(need>63463.40),63400.00 위 '종가확인' + 거래량 유지 시,SMA50(59158.00) 이탈 또는 Stop 58114.29,"Vol 2.2x (강함), MACD 완만개선, RSI 65",,"돌파 품질 미충족: close_not_confirm(need>63463.40) (Vol 2.16x, 기준 1.5x)",62300.0,58114.29,70006.07,145.0,9033500.0,199557554265,035720.KS,3,False
NAVER,Communication Services,WATCH_PULLBACK,WATCH_PULLBACK,254500.0,380439.0,1.62,0.64,3.1,8,0.84,39.6,2.93,26.8,종목 -9.6% vs KOSPI 22.8%,13.7,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(252320.00) 이탈 또는 Stop 239571.43,MACD 완만개선,,RSI 39.6,254500.0,239571.43,300760.0,40.0,10180000.0,393396013700,035420.KS,4,False
하림,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,3140.0,3334.0,1.67,0.69,2.87,15,0.43,42.0,2.55,61.4,종목 3.3% vs KOSDAQ 10.2%,19.6,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(3073.40) 이탈 또는 Stop 2980.00,RSI 42,,RSI 42.0,3140.0,2980.0,3599.85,3797.0,11922580.0,5590235572,136480.KQ,4,False
