Ticker,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,P,Promoted
FLKR,Unknown,BUY_BREAKOUT,BUY_BREAKOUT,48.78,,1.38,0.82,1.89,31,2.5,84.2,3.05,48.2,종목 19.1% vs SPY -0.9%,2.3,20D High 48.62 돌파 + Vol 2.50x (기준 1.5x),48.78 위에서 분할(돌파 유지 시),SMA50(37.74) 이탈 또는 Stop 45.80,"Vol 2.5x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,48.78,45.8,54.4,139.0,6780.0,18995474,0,False
CUBE,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,40.21,13.1,-0.18,0.82,,51,1.24,69.4,2.21,21.0,,8.9,트리거: 40.51 상향 돌파(20D High),40.51 돌파+거래량 동반 시,SMA50(37.68) 이탈 또는 Stop 38.43,"20D high 근접, Vol 1.2x (약), MACD 완만개선, RSI 69",,현재 Vol 1.24x,,,,,,95730101,3,False
SJM,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,116.0,17.1,-0.08,0.92,,45,3.03,61.5,3.38,28.2,,4.5,트리거: 112.90 상향 돌파(20D High) | 품질: gap_atr_high(2.83),112.90 위 '종가확인' + 거래량 유지 시,SMA50(103.62) 이탈 또는 Stop 108.15,"Vol 3.0x (강함), MACD 상향크로스, RSI 61",CROSS_UP,"돌파 품질 미충족: gap_atr_high(2.83) (Vol 3.03x, 기준 1.5x)",,,,,,232398570,3,False
SHAK,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,98.61,6.0,-0.1,0.9,,45,3.01,57.1,5.18,15.1,,31.8,트리거: 99.39 상향 돌파(20D High) | 품질: close_not_confirm(need>99.49) / gap_atr_high(2.40),99.39 위 '종가확인' + 거래량 유지 시,SMA50(90.56) 이탈 또는 Stop 88.39,"Vol 3.0x (강함), MACD 상향크로스, RSI 57",CROSS_UP,"돌파 품질 미충족: close_not_confirm(need>99.49) / gap_atr_high(2.40) (Vol 3.01x, 기준 1.5x)",,,,,,137730064,3,False
ABNB,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,136.97,107.8,-0.21,0.79,,43,1.15,70.7,3.71,40.5,,6.0,트리거: 132.58 상향 돌파(20D High),132.58 돌파+거래량 동반 시,SMA50(130.96) 이탈 또는 Stop 126.82,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 1.15x,,,,,,739319377,3,False
PGR,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,211.73,173.9,-0.21,0.79,,43,0.84,55.2,2.52,15.0,,27.7,트리거: 213.42 상향 돌파(20D High),213.42 돌파+거래량 동반 시,SMA50(211.97) 이탈 또는 Stop 201.05,"20D high 근접, MACD 완만개선, RSI 55",,현재 Vol 0.84x,,,,,,724024661,3,False
SO,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,96.35,146.2,-0.21,0.79,,43,0.61,64.6,2.25,40.6,,4.5,트리거: 96.70 상향 돌파(20D High),96.70 돌파+거래량 동반 시,SMA50(89.26) 이탈 또는 Stop 92.01,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 0.61x,,,,,,688362829,3,False
CFLT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,30.63,15.9,-0.26,0.74,,43,0.37,68.5,0.36,20.4,,7.2,트리거: 30.76 상향 돌파(20D High),30.76 돌파+거래량 동반 시,SMA50(30.39) 이탈 또는 Stop 30.41,"20D high 근접, MACD 완만개선, RSI 68",,현재 Vol 0.37x,,,,,,597630060,3,False
EFX,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,207.85,34.5,-0.21,0.79,,43,0.64,63.1,3.8,34.9,,26.0,트리거: 205.86 상향 돌파(20D High),205.86 돌파+거래량 동반 시,SMA50(208.11) 이탈 또는 Stop 192.05,"20D high 근접, MACD 완만개선, RSI 63",,현재 Vol 0.64x,,,,,,444711998,3,False
EW,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,85.9,65.2,-0.24,0.76,,43,0.54,70.8,2.94,44.4,,2.3,트리거: 84.07 상향 돌파(20D High),84.07 돌파+거래량 동반 시,SMA50(82.87) 이탈 또는 Stop 80.84,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.54x,,,,,,414422655,3,False
