Ticker,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,P,Promoted
LNT,Utilities,BUY_BREAKOUT,BUY_BREAKOUT,72.34,26.8,1.48,0.82,2.02,49,1.65,77.5,1.9,42.6,종목 9.1% vs SPY -1.2%,0.1,20D High 72.26 돌파 + Vol 1.65x (기준 1.5x),72.34 위에서 분할(돌파 유지 시),SMA50(67.18) 이탈 또는 Stop 69.60,"20D high 근접, Vol 1.6x",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,72.34,69.6,77.88,151.0,10923.0,238259106,0,False
REG,Real Estate,BUY_BREAKOUT,BUY_BREAKOUT,79.0,20.8,1.69,0.89,2.01,62,1.72,67.8,1.74,60.4,종목 9.8% vs SPY -1.2%,0.1,20D High 78.69 돌파 + Vol 1.72x (기준 1.5x),79.00 위에서 분할(돌파 유지 시),SMA50(72.27) 이탈 또는 Stop 76.26,"20D high 근접, Vol 1.7x, MACD 완만개선, RSI 68",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,79.0,76.26,84.52,151.0,11929.0,106760969,0,False
JNJ,Healthcare,BUY_BREAKOUT,BUY_BREAKOUT,248.43,846.5,1.71,0.9,2.0,59,1.71,64.7,1.55,57.9,종목 9.3% vs SPY -1.2%,0.2,20D High 247.25 돌파 + Vol 1.71x (기준 1.5x),248.43 위에서 분할(돌파 유지 시),SMA50(223.81) 이탈 또는 Stop 240.74,"20D high 근접, Vol 1.7x, RSI 65",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,248.43,240.74,263.82,53.0,13167.0,2317396403,0,False
ROST,Consumer Cyclical,WATCH_EARNINGS,BUY_BREAKOUT,205.64,90.8,1.53,0.85,1.99,49,1.86,84.0,1.86,66.0,종목 10.3% vs SPY -1.2%,0.4,20D High 204.85 돌파 + Vol 1.86x (기준 1.5x),205.64 위에서 분할(돌파 유지 시),SMA50(190.24) 이탈 또는 Stop 198.01,"20D high 근접, Vol 1.9x",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 [실적 3거래일 전 → WATCH 강등],205.64,198.01,220.83,54.0,11105.0,467017601,0,False
ATO,Utilities,BUY_BREAKOUT,BUY_BREAKOUT,186.79,42.2,1.53,0.86,1.96,49,1.94,89.2,1.46,61.0,종목 12.5% vs SPY -1.2%,0.5,20D High 183.91 돌파 + Vol 1.94x (기준 1.5x),186.79 위에서 분할(돌파 유지 시),SMA50(171.31) 이탈 또는 Stop 181.34,"20D high 근접, Vol 1.9x",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,186.79,181.34,197.47,76.0,14196.0,256210011,0,False
SUI,Real Estate,BUY_BREAKOUT,BUY_BREAKOUT,136.46,24.6,1.4,0.82,1.94,31,3.4,83.3,2.19,26.0,종목 7.8% vs SPY -1.2%,1.0,20D High 136.14 돌파 + Vol 3.40x (기준 1.5x),136.46 위에서 분할(돌파 유지 시),SMA50(126.60) 이탈 또는 Stop 130.49,"Vol 3.4x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,136.46,130.49,148.07,69.0,9416.0,131545659,0,False
ITW,Industrials,BUY_PULLBACK,BUY_PULLBACK,290.63,125.6,1.49,0.84,1.97,34,1.7,44.7,1.88,65.0,종목 10.6% vs SPY -1.2%,4.1,SMA20(289.84) 눌림 후 반등(필터 통과),290.63 부근 분할 또는 직전 고가 상향 시,SMA20(289.84) 이탈 또는 Stop 279.68,"Vol 1.7x, RSI 45",,RSI 44.7,290.63,279.68,312.25,37.0,10753.0,521397330,1,False
NFLX,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,96.24,510.5,-0.08,0.92,,61,3.7,69.8,3.81,25.8,종목 15.7% vs SPY -1.2%,28.2,트리거: 86.50 상향 돌파(20D High) | 품질: gap_atr_high(2.65),86.50 위 '종가확인' + 거래량 유지 시,SMA50(86.35) 이탈 또는 Stop 88.90,"20D high 근접, Vol 3.7x (강함), MACD 완만개선, RSI 70",,"돌파 품질 미충족: gap_atr_high(2.65) (Vol 3.70x, 기준 1.5x)",,,,,,4510918350,3,False
DELL,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,148.08,123.6,-0.1,0.9,,61,3.55,70.2,5.06,18.2,종목 25.0% vs SPY -1.2%,11.9,트리거: 128.06 상향 돌파(20D High) | 품질: gap_atr_high(2.12),128.06 위 '종가확인' + 거래량 유지 시,SMA50(121.56) 이탈 또는 Stop 133.09,"20D high 근접, Vol 3.5x (강함), MACD 완만개선, RSI 70",,"돌파 품질 미충족: gap_atr_high(2.12) (Vol 3.55x, 기준 1.5x)",,,,,,1170497336,3,False
AFG,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,132.98,15.7,-0.07,0.93,,61,5.78,58.4,1.87,10.2,종목 3.2% vs SPY -1.2%,11.4,트리거: 133.88 상향 돌파(20D High) | 품질: close_not_confirm(need>134.01),133.88 위 '종가확인' + 거래량 유지 시,SMA50(132.19) 이탈 또는 Stop 128.01,"20D high 근접, Vol 5.8x (강함), MACD 완만개선, RSI 58",,"돌파 품질 미충족: close_not_confirm(need>134.01) (Vol 5.78x, 기준 1.5x)",,,,,,126373316,3,False
KO,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,81.56,497.9,-0.11,0.89,,60,1.37,63.4,1.67,43.7,종목 11.1% vs SPY -1.2%,0.5,트리거: 81.09 상향 돌파(20D High),81.09 돌파+거래량 동반 시,SMA50(73.88) 이탈 또는 Stop 78.83,"20D high 근접, Vol 1.4x (약), MACD 상향크로스, RSI 63",CROSS_UP,현재 Vol 1.37x,,,,,,1636766451,3,False
NEM,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,130.0,202.3,-0.12,0.88,,60,1.47,67.7,4.07,11.9,종목 2.4% vs SPY -1.2%,3.6,트리거: 127.93 상향 돌파(20D High),127.93 돌파+거래량 동반 시,SMA50(114.86) 이탈 또는 Stop 119.42,"20D high 근접, Vol 1.5x (약), MACD 상향크로스, RSI 68",CROSS_UP,현재 Vol 1.47x,,,,,,1222826361,3,False
BMY,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,62.37,181.1,-0.1,0.9,,60,1.48,52.4,2.06,57.9,종목 14.9% vs SPY -1.2%,1.5,트리거: 62.12 상향 돌파(20D High),62.12 돌파+거래량 동반 시,SMA50(56.80) 이탈 또는 Stop 59.80,"20D high 근접, Vol 1.5x (약), MACD 상향크로스, RSI 52",CROSS_UP,현재 Vol 1.48x,,,,,,836650987,3,False
PLD,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,142.57,189.0,-0.11,0.89,,54,1.61,62.5,1.98,42.5,종목 9.3% vs SPY -1.2%,1.0,트리거: 142.85 상향 돌파(20D High) | 품질: close_not_confirm(need>142.99) / upper_wick_high(0.69),142.85 위 '종가확인' + 거래량 유지 시,SMA50(132.54) 이탈 또는 Stop 136.94,"20D high 근접, Vol 1.6x, RSI 63",,"돌파 품질 미충족: close_not_confirm(need>142.99) / upper_wick_high(0.69) (Vol 1.61x, 기준 1.5x)",,,,,,451442626,3,False
WM,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,240.84,138.5,-0.19,0.81,,52,1.08,69.5,2.1,30.5,종목 7.9% vs SPY -1.2%,0.7,트리거: 238.56 상향 돌파(20D High),238.56 돌파+거래량 동반 시,SMA50(225.15) 이탈 또는 Stop 230.75,"20D high 근접, MACD 상향크로스, RSI 69",CROSS_UP,현재 Vol 1.08x,,,,,,555720500,3,False
HSY,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,236.28,68.0,-0.17,0.83,,52,0.92,56.2,2.39,49.7,종목 24.0% vs SPY -1.2%,0.2,트리거: 234.87 상향 돌파(20D High),234.87 돌파+거래량 동반 시,SMA50(201.85) 이탈 또는 Stop 225.00,"20D high 근접, MACD 상향크로스, RSI 56",CROSS_UP,현재 Vol 0.92x,,,,,,553644727,3,False
NTR,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,75.07,50.7,-0.17,0.83,,52,1.18,71.2,2.71,30.6,종목 5.5% vs SPY -1.2%,0.9,트리거: 73.55 상향 돌파(20D High),73.55 돌파+거래량 동반 시,SMA50(67.05) 이탈 또는 Stop 71.00,"20D high 근접, MACD 상향크로스, RSI 71",CROSS_UP,현재 Vol 1.18x,,,,,,205665752,3,False
KNX,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,62.92,14.2,-0.16,0.84,,52,1.07,58.9,3.67,21.8,종목 12.7% vs SPY -1.2%,0.1,트리거: 62.63 상향 돌파(20D High),62.63 돌파+거래량 동반 시,SMA50(56.92) 이탈 또는 Stop 58.30,"20D high 근접, MACD 상향크로스, RSI 59",CROSS_UP,현재 Vol 1.07x,,,,,,194246123,3,False
PG,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,167.2,544.5,-0.18,0.82,,51,1.27,66.6,1.94,44.2,종목 11.5% vs SPY -1.2%,7.1,트리거: 166.87 상향 돌파(20D High),166.87 돌파+거래량 동반 시,SMA50(150.76) 이탈 또는 Stop 160.71,"20D high 근접, Vol 1.3x (약), MACD 완만개선, RSI 67",,현재 Vol 1.27x,,,,,,1872546593,3,False
ABT,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,116.35,287.1,-0.18,0.82,,51,1.29,69.4,1.6,47.7,종목 9.7% vs SPY -1.2%,17.6,트리거: 116.57 상향 돌파(20D High),116.57 돌파+거래량 동반 시,SMA50(117.74) 이탈 또는 Stop 112.63,"20D high 근접, Vol 1.3x (약), MACD 완만개선, RSI 69",,현재 Vol 1.29x,,,,,,1147688936,3,False
TJX,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,161.66,251.7,-0.16,0.84,,51,1.25,62.6,2.19,27.3,종목 9.6% vs SPY -1.2%,0.6,트리거: 162.68 상향 돌파(20D High),162.68 돌파+거래량 동반 시,SMA50(154.94) 이탈 또는 Stop 154.59,"20D high 근접, Vol 1.2x (약), MACD 완만개선, RSI 63",,현재 Vol 1.25x,,,,,,883888088,3,False
AAOI,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,84.23,4.8,-0.16,0.84,,51,3.95,83.4,8.08,38.6,종목 112.9% vs SPY -1.2%,0.1,트리거: 59.25 상향 돌파(20D High) | 품질: gap_atr_high(1.80),59.25 위 '종가확인' + 거래량 유지 시,SMA50(41.35) 이탈 또는 Stop 70.63,"20D high 근접, Vol 4.0x (강함), MACD 완만개선",,"돌파 품질 미충족: gap_atr_high(1.80) (Vol 3.95x, 기준 1.5x)",,,,,,338343094,3,False
EXK,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,13.9,5.1,-0.19,0.81,,51,1.34,69.0,5.97,21.2,종목 5.6% vs SPY -1.2%,8.3,트리거: 14.03 상향 돌파(20D High),14.03 돌파+거래량 동반 시,SMA50(11.43) 이탈 또는 Stop 12.24,"20D high 근접, Vol 1.3x (약), MACD 완만개선, RSI 69",,현재 Vol 1.34x,,,,,,156406077,3,False
