Ticker,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,P,Promoted
LNT,Utilities,BUY_BREAKOUT,BUY_BREAKOUT,72.34,267907.0,1.4765422593880786,0.820047105757642,2.02,49,1.65,77.5,1.9,42.6,종목 9.1% vs SPY -1.2%,0.1,20D High 72.26 돌파 + Vol 1.65x (기준 1.5x),72.34 위에서 분할(돌파 유지 시),SMA50(67.18) 이탈 또는 Stop 69.60,"20D high 근접, Vol 1.6x",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,72.34,69.6,77.88,151.0,10923.0,238259106,0,False
REG,Real Estate,BUY_BREAKOUT,BUY_BREAKOUT,79.0,208267.0,1.6911491112026564,0.894069472160351,2.01,62,1.72,67.8,1.74,60.4,종목 9.8% vs SPY -1.2%,0.1,20D High 78.69 돌파 + Vol 1.72x (기준 1.5x),79.00 위에서 분할(돌파 유지 시),SMA50(72.27) 이탈 또는 Stop 76.26,"20D high 근접, Vol 1.7x, MACD 완만개선, RSI 68",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,79.0,76.26,84.52,151.0,11929.0,106760969,0,False
JNJ,Healthcare,BUY_BREAKOUT,BUY_BREAKOUT,248.43,8464947.0,1.7136927267355664,0.9045642422451888,2.0,59,1.71,64.7,1.55,57.9,종목 9.3% vs SPY -1.2%,0.2,20D High 247.25 돌파 + Vol 1.71x (기준 1.5x),248.43 위에서 분할(돌파 유지 시),SMA50(223.81) 이탈 또는 Stop 240.74,"20D high 근접, Vol 1.7x, RSI 65",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,248.43,240.74,263.82,53.0,13167.0,2317396403,0,False
ROST,Consumer Cyclical,WATCH_EARNINGS,BUY_BREAKOUT,205.64,908173.0,1.53,0.85,1.99,49,1.86,84.0,1.86,66.0,종목 10.3% vs SPY -1.2%,0.4,20D High 204.85 돌파 + Vol 1.86x (기준 1.5x),205.64 위에서 분할(돌파 유지 시),SMA50(190.24) 이탈 또는 Stop 198.01,"20D high 근접, Vol 1.9x",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 [실적 3거래일 전 → WATCH 강등],205.64,198.01,220.83,54.0,11105.0,467017601,0,False
ATO,Utilities,BUY_BREAKOUT,BUY_BREAKOUT,186.79,421844.0,1.5320091816732537,0.8554085073220452,1.96,49,1.94,89.2,1.46,61.0,종목 12.5% vs SPY -1.2%,0.5,20D High 183.91 돌파 + Vol 1.94x (기준 1.5x),186.79 위에서 분할(돌파 유지 시),SMA50(171.31) 이탈 또는 Stop 181.34,"20D high 근접, Vol 1.9x",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,186.79,181.34,197.47,76.0,14196.0,256210011,0,False
SUI,Real Estate,BUY_BREAKOUT,BUY_BREAKOUT,136.46,246339.0,1.4043993908450592,0.8178229220561426,1.94,31,3.4,83.3,2.19,26.0,종목 7.8% vs SPY -1.2%,1.0,20D High 136.14 돌파 + Vol 3.40x (기준 1.5x),136.46 위에서 분할(돌파 유지 시),SMA50(126.60) 이탈 또는 Stop 130.49,"Vol 3.4x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,136.46,130.49,148.07,69.0,9416.0,131545659,0,False
ITW,Industrials,BUY_PULLBACK,BUY_PULLBACK,290.63,1255730.0,1.490166894546989,0.8384400318340031,1.97,34,1.7,44.7,1.88,65.0,종목 10.6% vs SPY -1.2%,4.1,SMA20(289.84) 눌림 후 반등(필터 통과),290.63 부근 분할 또는 직전 고가 상향 시,SMA20(289.84) 이탈 또는 Stop 279.68,"Vol 1.7x, RSI 45",,RSI 44.7,290.63,279.68,312.25,37.0,10753.0,521397330,1,False
EXAS,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,103.38,287353.0,4.92,0.79,6.5,40,1.18,58.2,0.25,31.8,종목 1.1% vs SPY -1.2%,0.3,트리거: 103.67 상향 돌파(20D High),103.67 돌파+거래량 동반 시,SMA50(102.43) 이탈 또는 Stop 102.86,"20D high 근접, RSI 58",,현재 Vol 1.18x,103.38,102.86,106.78,793.0,81980.0,233463910,3,False
GWRE,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,145.32,165841.0,3.96,0.69,6.19,18,1.05,64.2,5.08,49.6,종목 -1.6% vs SPY -1.2%,46.7,트리거: 147.20 상향 돌파(20D High),147.20 돌파+거래량 동반 시,SMA50(161.46) 이탈 또는 Stop 130.54,"MACD 완만개선, RSI 64",,현재 Vol 1.05x,145.32,130.54,236.75,28.0,4069.0,257727620,3,False
IOT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,28.9,235681.0,4.2,0.76,5.8,43,0.85,63.6,5.96,34.5,종목 -0.7% vs SPY -1.2%,43.3,트리거: 29.12 상향 돌파(20D High),29.12 돌파+거래량 동반 시,SMA50(31.41) 이탈 또는 Stop 25.45,"20D high 근접, MACD 완만개선, RSI 64",,현재 Vol 0.85x,28.9,25.45,48.89,120.0,3468.0,247928742,3,False
